Compañía;País;Tipo;Ramo;Subramo;Moneda local; USD ;Año;Tasa de Cambio;AFILIADO
ALLIANZ;Argentina;Primas;Carga;Mercadería;7.513.668.640;8.207.445;2024;915,4699;AFILIADO
ATLANTIDA;Honduras;Primas;Carga;Transporte Marítimo;1.251.780;50.351;2024;24,8611;NO AFILIADOS
ASSEKURANSA;Argentina;Primas;Carga;Mercadería;3.573.458.362;3.903.414;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;233.033.000;12.469.927;2016;18,6876;NO AFILIADOS
ABA;México;Primas;Cascos;;233.033.000;12.469.927;2016;18,6876;NO AFILIADOS
ABA;México;Siniestros;Carga;;47.974.000;2.567.157;2016;18,6876;NO AFILIADOS
ABA;México;Siniestros;Cascos;;6.426.000;343.864;2016;18,6876;NO AFILIADOS
ABA;México;Primas;Carga;;181.568.371;11.452.400;2015;15,85417589;NO AFILIADOS
ABA;México;Primas;Cascos;;18.731.002;1.181.455;2015;15,85417589;NO AFILIADOS
ABA;México;Siniestros;Carga;;50.410.199;3.179.616;2015;15,85417589;NO AFILIADOS
ABA;México;Siniestros;Cascos;;4.950.369;312.244;2015;15,85417589;NO AFILIADOS
ABA;México;Primas;Carga;;159.902.000;12.019.833;2014;13,30317968;NO AFILIADOS
ABA;México;Primas;Cascos;;16.023.000;1.204.449;2014;13,30317968;NO AFILIADOS
ABA;México;Siniestros;Carga;;30.556.000;2.296.894;2014;13,30317968;NO AFILIADOS
ABA;México;Siniestros;Cascos;;11.023.000;828.599;2014;13,30317968;NO AFILIADOS
HANSEATICA;Argentina;Primas;Carga;Mercadería;11.936.708.379;13.038.887;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;154.005.000;12.065.928;2013;12,7636263;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Primas;Carga;Mercadería;3.185.887.313;3.480.057;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;12.086.537;946.952;2013;12,7636263;NO AFILIADOS
ABA;México;Primas;Cascos;;15.704.000;1.230.371;2013;12,7636263;NO AFILIADOS
ABA;México;Primas;Cascos;;1.232.473;96.561;2013;12,7636263;NO AFILIADOS
ABA;México;Siniestros;Carga;;27.056.000;2.119.774;2013;12,7636263;NO AFILIADOS
ABA;México;Siniestros;Carga;;2.123.394;166.363;2013;12,7636263;NO AFILIADOS
ABA;México;Siniestros;Cascos;;3.412.000;267.322;2013;12,7636263;NO AFILIADOS
MERIDIONAL;Argentina;Primas;Carga;Mercadería;5.842.949.874;6.382.460;2024;915,4699;AFILIADO
ABA;México;Siniestros;Cascos;;267.779;20.980;2013;12,7636263;NO AFILIADOS
NACION;Argentina;Primas;Carga;Mercadería;5.878.331.552;6.421.108;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;164.278.000;12.417.865;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Carga;;12.417.865;938.673;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Cascos;;15.720.000;1.188.283;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Cascos;;1.188.283;89.823;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Carga;;44.696.000;3.378.595;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Carga;;3.378.595;255.390;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;6.685.000;505.323;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;505.323;38.198;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Carga;;160.587.000;12.919.308;2011;12,43;NO AFILIADOS
ABA;México;Primas;Carga;;12.919.308;1.039.365;2011;12,43;NO AFILIADOS
ABA;México;Primas;Cascos;;14.340.000;1.153.660;2011;12,43;NO AFILIADOS
ABA;México;Primas;Cascos;;1.153.660;92.813;2011;12,43;NO AFILIADOS
ABA;México;Primas;RC;;0;0;2011;12,43;NO AFILIADOS
SANCOR;Argentina;Primas;Carga;Mercadería;9.559.046.978;10.441.684;2024;915,4699;AFILIADO
ABA;México;Primas;RC;;0;0;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Carga;;40.623.000;3.268.142;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Carga;;3.268.142;262.924;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Cascos;;14.382.000;1.157.039;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Cascos;;1.157.039;93.084;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;RC;;-17.699;-1.424;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;RC;;-220.000;-17.699;2011;12,43;NO AFILIADOS
ABA;México;Primas;Carga;;151.174.000;11.956.027;2010;12,64416667;NO AFILIADOS
ZURICH;Argentina;Primas;Carga;Mercadería;5.092.447.703;5.562.660;2024;915,4699;AFILIADO
ZURICH ASEGURADORA ;Argentina;Primas;Carga;Mercadería;15.950.905.296;17.423.735;2024;915,4699;AFILIADO
ALLIANZ;Argentina;Primas;Cascos;;566.587.011;618.903;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;11.956.027;945.577;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;Cascos;;13.152.000;1.040.163;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;Cascos;;1.040.163;82.264;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;RC;;0;0;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;RC;;0;0;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Carga;;60.698.000;4.800.475;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Carga;;4.800.475;379.659;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;2.460.000;194.556;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;194.556;15.387;2010;12,64416667;NO AFILIADOS
HANSEATICA;Argentina;Primas;Cascos;;78.103.355;85.315;2024;915,4699;AFILIADO
ABA;México;Siniestros;RC;;3.000;237;2010;12,64416667;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Primas;Cascos;;9.246.401.460;10.100.170;2024;915,4699;AFILIADO
ABA;México;Siniestros;RC;;237;19;2010;12,64416667;NO AFILIADOS
ACE;Argentina;Primas;Carga;;83.456.660;5.650.914;2016;14,7687;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;7.977.073;540.134;2016;14,7687;NO AFILIADOS
ACE;Argentina;Primas;Carga;;55.776.899;6.017.315;2015;9,2694;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;15.559.279;1.678.564;2015;9,2694;NO AFILIADOS
ACE;Argentina;Primas;Carga;;37.699.035;4.644.247;2014;8,117363014;NO AFILIADOS
MERIDIONAL;Argentina;Primas;Cascos;;3.764.851.588;4.112.480;2024;915,4699;AFILIADO
NACION;Argentina;Primas;Cascos;;1.974.284.183;2.156.580;2024;915,4699;AFILIADO
ACE;Argentina;Siniestros;Carga;;7.300.132;899.323;2014;8,117363014;NO AFILIADOS
ACE;Argentina;Primas;Carga;;34.375.697;6.275.137;2013;5,478079178;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;3.259.852;595.072;2013;5,478079178;NO AFILIADOS
ACE;Argentina;Primas;Carga;;22.420.961;4.926.079;2012;4,551481818;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;2.251.813;494.743;2012;4,551481818;NO AFILIADOS
ACE;Argentina;Primas;Carga;;81.476.442;19.726.871;2011;4,130226423;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;12.755.164;3.088.248;2011;4,130226423;NO AFILIADOS
ACE;Argentina;Primas;Carga;;15.133.700;3.867.855;2010;3,912685772;NO AFILIADOS
ACE;Argentina;Primas;Cascos;;3.763.773;961.941;2010;3,912685772;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;3.597.627;919.478;2010;3,912685772;NO AFILIADOS
ACE;Brasil;Primas;Carga;Internacional;41.631.282;12.669.288;2015;3,286;NO AFILIADOS
SANCOR;Argentina;Primas;Cascos;;3.571.721.748;3.901.517;2024;915,4699;AFILIADO
ACE;Brasil;Primas;Carga;Nacional;36.161.238;11.004.637;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Carga;Nacional;35.193.217;10.710.048;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Carga;Internacional;24.955.110;7.594.373;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Cascos;;38.046.285;11.578.297;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Operador portuario;61.166.519;18.614.278;2015;3,286;NO AFILIADOS
